,Unnamed: 0,kingdom,phylum,class,order,family,genus,species,sBin,gBin,fBin,dist_SGB,sSGB,gSGB,fSGB
fBin__104|gBin__493|sBin__730,Rep_730,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,Victivallaceae,Victivallis,Victivallis sp002998355,730.0,493.0,104,0.0165338569230769,9203,6516,2377
fBin__104|gBin__494|sBin__731,Rep_731,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,Victivallaceae,Victivallis,Victivallis vadensis,731.0,494.0,104,0.0178549619047619,9202,6515,2377
fBin__104|gBin__495|sBin__732,Rep_732,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,Victivallaceae,Victivallis,unknown,732.0,495.0,104,0.0124804166666666,9199,6513,2377
fBin__104|gBin__496|sBin__733,Rep_733,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,Victivallaceae,Victivallis,Victivallis sp900551245,733.0,496.0,104,0.021737425,9198,6512,2377
fBin__104|gBin__496|sBin__734,Rep_734,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,Victivallaceae,Victivallis,Victivallis sp900550905,734.0,496.0,104,0.0295853599999999,9197,6512,2377
fBin__104|gBin__497|sBin__735,Rep_735,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,UBA1829,UBA11452,unknown,735.0,497.0,104,0.0127623666666666,9204,6517,2378
fBin__104|gBin__498|sBin__736,Rep_736,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,UBA1829,UBA11452,UBA11452 sp003526375,736.0,498.0,104,0.0164927596296296,9205,6518,2378
fBin__104|gBin__499|sBin__737,Rep_737,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,UBA1829,UBA11452,unknown,737.0,499.0,104,0.004826925,9196,6511,2377
fBin__104|gBin__500|sBin__738,Rep_738,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,UBA1829,UBA1829,UBA1829 sp002338895,738.0,500.0,104,0.0194893833333333,9212,6521,2378
fBin__104|gBin__501|sBin__739,Rep_739,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,UBA1829,unknown,unknown,739.0,501.0,104,0.0110751,9214,6522,2378
fBin__104|gBin__501|sBin__740,Rep_740,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,UBA1829,unknown,unknown,740.0,501.0,104,0.0,9213,6522,2378
fBin__104|gBin__502|sBin__741,Rep_741,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,UBA1829,UBA1829,UBA1829 sp900549045,741.0,502.0,104,0.0132398958536585,9209,6520,2378
fBin__104|gBin__502|sBin__742,Rep_742,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,UBA1829,UBA1829,UBA1829 sp900549415,742.0,502.0,104,0.0209597176470588,9210,6520,2378
fBin__104|gBin__503|sBin__743,Rep_743,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,UBA1829,UBA1829,unknown,743.0,503.0,104,0.01780325,9207,6519,2378
fBin__104|gBin__503|sBin__744,Rep_744,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,UBA1829,UBA1829,UBA1829 sp900548385,744.0,503.0,104,0.0162581669230769,9208,6519,2378
fBin__105|gBin__504|sBin__745,Rep_745,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,UBA1829,unknown,unknown,745.0,504.0,105,0.0,9215,6523,2379
fBin__106|gBin__505|sBin__746,Rep_746,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-977,CAG-977,CAG-977 sp900553035,746.0,505.0,106,0.00448724,9305,6584,2401
fBin__106|gBin__506|sBin__747,Rep_747,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-977,CAG-977,CAG-977 sp000434295,747.0,506.0,106,0.0147151068749999,9303,6582,2401
fBin__106|gBin__506|sBin__748,Rep_748,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-977,CAG-977,unknown,748.0,506.0,106,0.1409289375,unknown,6582,2401
fBin__106|gBin__506|sBin__749,Rep_749,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-977,CAG-977,unknown,749.0,506.0,106,0.1820704375,unknown,unknown,2401
fBin__106|gBin__507|sBin__750,Rep_750,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-977,UBA11549,unknown,750.0,507.0,106,0.127102,unknown,6585,2401
fBin__106|gBin__508|sBin__751,Rep_751,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-977,UBA11549,unknown,751.0,508.0,106,0.00157716,9308,6585,2401
fBin__106|gBin__508|sBin__752,Rep_752,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-977,UBA11549,unknown,752.0,508.0,106,0.011383528,9306,6585,2401
fBin__106|gBin__508|sBin__753,Rep_753,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-977,UBA11549,UBA11549 sp900550445,753.0,508.0,106,0.0165252289285714,9307,6585,2401
fBin__106|gBin__509|sBin__754,Rep_754,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-977,UBA11549,unknown,754.0,509.0,106,0.0063955,9313,6587,2401
fBin__106|gBin__510|sBin__755,Rep_755,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-977,UBA2903,UBA2903 sp002349565,755.0,510.0,106,0.00428584,9310,6586,2401
fBin__106|gBin__510|sBin__756,Rep_756,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-977,UBA2903,unknown,756.0,510.0,106,0.0289787136363636,9311,6586,2401
fBin__106|gBin__511|sBin__757,Rep_757,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-977,unknown,unknown,757.0,511.0,106,0.0124607,9315,6588,2401
fBin__107|gBin__512|sBin__758,Rep_758,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-239,unknown,unknown,758.0,512.0,107,0.0155416428571428,9320,6592,2402
fBin__107|gBin__512|sBin__759,Rep_759,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-239,unknown,unknown,759.0,512.0,107,0.0074909916666666,9319,6592,2402
fBin__107|gBin__512|sBin__760,Rep_760,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-239,unknown,unknown,760.0,512.0,107,0.0569059833333333,unknown,6592,2402
fBin__107|gBin__513|sBin__761,Rep_761,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-239,RUG410,RUG410 sp900553115,761.0,513.0,107,0.0174293352941176,9323,6593,2402
fBin__107|gBin__513|sBin__762,Rep_762,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-239,RUG410,unknown,762.0,513.0,107,0.0126479175,9324,6593,2402
fBin__107|gBin__513|sBin__763,Rep_763,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-239,RUG410,unknown,763.0,513.0,107,0.0157128333333333,9321,6593,2402
fBin__107|gBin__513|sBin__764,Rep_764,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-239,RUG410,unknown,764.0,513.0,107,0.0218630666666666,9322,6593,2402
fBin__107|gBin__514|sBin__765,Rep_765,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-239,CAG-495,unknown,765.0,514.0,107,0.0,9329,6598,2402
fBin__108|gBin__515|sBin__766,Rep_766,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-239,CAG-267,CAG-267 sp900551865,766.0,515.0,108,0.0134052,9332,6601,2403
fBin__108|gBin__515|sBin__767,Rep_767,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-239,CAG-267,CAG-267 sp001917135,767.0,515.0,108,0.0299512929824561,9333,6601,2403
fBin__108|gBin__516|sBin__768,Rep_768,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-239,CAG-495,unknown,768.0,516.0,108,0.00326543,9341,6607,2404
fBin__108|gBin__517|sBin__769,Rep_769,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-239,CAG-495,CAG-495 sp000432275,769.0,517.0,108,0.013467613063063,9342,6608,2404
fBin__108|gBin__518|sBin__770,Rep_770,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-239,CAG-495,unknown,770.0,518.0,108,0.2347368288288287,unknown,unknown,2404
fBin__108|gBin__519|sBin__771,Rep_771,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-239,CAG-495,unknown,771.0,519.0,108,0.233299063063063,unknown,unknown,2404
fBin__108|gBin__520|sBin__772,Rep_772,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-239,CAG-495,unknown,772.0,520.0,108,0.2397598198198198,unknown,unknown,2404
fBin__108|gBin__521|sBin__773,Rep_773,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-239,CAG-495,unknown,773.0,521.0,108,0.0235236428571428,9343,6609,2404
fBin__108|gBin__522|sBin__774,Rep_774,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-239,CAG-495,unknown,774.0,522.0,108,0.0922751,unknown,6615,2404
fBin__108|gBin__522|sBin__775,Rep_775,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-239,CAG-495,unknown,775.0,522.0,108,0.0096416,9350,6615,2404
fBin__108|gBin__523|sBin__776,Rep_776,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-239,CAG-495,CAG-495 sp900540425,776.0,523.0,108,0.0109843961538461,9344,6610,2404
fBin__108|gBin__524|sBin__777,Rep_777,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-239,CAG-495,CAG-495 sp900538765,777.0,524.0,108,0.0122181649999999,9345,6611,2404
fBin__108|gBin__525|sBin__778,Rep_778,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-239,CAG-495,CAG-495 sp000436375,778.0,525.0,108,0.0224830749999999,9346,6612,2404
fBin__108|gBin__526|sBin__779,Rep_779,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-239,CAG-495,CAG-495 sp001917125,779.0,526.0,108,0.0145056340487804,9347,6613,2404
fBin__108|gBin__527|sBin__780,Rep_780,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-239,CAG-495,unknown,780.0,527.0,108,0.0056617,9349,6614,2404
fBin__108|gBin__527|sBin__781,Rep_781,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-239,CAG-495,unknown,781.0,527.0,108,0.0,9348,6614,2404
fBin__108|gBin__528|sBin__782,Rep_782,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-239,CAG-495,unknown,782.0,528.0,108,0.218593,unknown,unknown,2404
fBin__108|gBin__529|sBin__783,Rep_783,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-239,51-20,unknown,783.0,529.0,108,0.0592818,unknown,6604,2404
fBin__108|gBin__529|sBin__784,Rep_784,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-239,51-20,unknown,784.0,529.0,108,0.0118608,9337,6604,2404
fBin__108|gBin__529|sBin__785,Rep_785,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-239,51-20,51-20 sp900539605,785.0,529.0,108,0.0,9338,6604,2404
fBin__108|gBin__530|sBin__786,Rep_786,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-239,51-20,unknown,786.0,530.0,108,0.00627965,9339,6605,2404
fBin__108|gBin__531|sBin__787,Rep_787,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-239,51-20,51-20 sp001917175,787.0,531.0,108,0.0163928454545454,9340,6606,2404
fBin__108|gBin__532|sBin__788,Rep_788,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-239,51-20,unknown,788.0,532.0,108,0.220489,unknown,unknown,2402
fBin__108|gBin__533|sBin__789,Rep_789,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-239,51-20,51-20 sp900542055,789.0,533.0,108,0.0,9330,6599,2402
fBin__109|gBin__534|sBin__790,Rep_790,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio,Vibrio cholerae,790.0,534.0,109,0.0069190673152941,9862,6899,2479
fBin__110|gBin__535|sBin__791,Rep_791,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,Neisseria subflava_B,791.0,535.0,110,0.0353511853475935,9450,6683,2434
fBin__111|gBin__536|sBin__792,Rep_792,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SFHR01,unknown,unknown,792.0,536.0,111,0.00492482,9360,6625,2413
fBin__111|gBin__536|sBin__793,Rep_793,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SFHR01,unknown,unknown,793.0,536.0,111,0.0,9361,6625,2413
fBin__112|gBin__537|sBin__794,Rep_794,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinobaculum,Actinobaculum massiliense,794.0,537.0,112,0.0006945813333333,17172,10573,3135
fBin__113|gBin__538|sBin__795,Rep_795,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,QFNR01,unknown,795.0,538.0,113,0.0,10472,7136,2495
fBin__114|gBin__539|sBin__796,Rep_796,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Comamonas,Comamonas kerstersii,796.0,539.0,114,0.0108492968181818,12676,8293,2594
fBin__114|gBin__540|sBin__797,Rep_797,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Acidovorax_D,Acidovorax_D sp000302535,797.0,540.0,114,0.0225094,12700,8300,2594
fBin__114|gBin__540|sBin__798,Rep_798,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Acidovorax_D,Acidovorax_D temperans,798.0,540.0,114,0.024114,12690,8299,2594
fBin__115|gBin__541|sBin__799,Rep_799,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Azonexus,Azonexus sp900549295,799.0,541.0,115,0.0,12619,8248,2594
fBin__116|gBin__542|sBin__800,Rep_800,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,800.0,542.0,116,0.0105189364828685,12320,8137,2590
fBin__116|gBin__542|sBin__801,Rep_801,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas citronellolis,801.0,542.0,116,0.0226325076923076,12328,8137,2590
fBin__116|gBin__543|sBin__802,Rep_802,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,SD129,unknown,802.0,543.0,116,0.1491865,unknown,8150,2590
fBin__116|gBin__544|sBin__803,Rep_803,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas_E fulva,803.0,544.0,116,0.01701957,12272,8131,2590
fBin__116|gBin__545|sBin__804,Rep_804,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,Achromobacter xylosoxidans,804.0,545.0,116,0.0172124456521739,13140,8451,2594
fBin__116|gBin__546|sBin__805,Rep_805,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas_E fragi_B,805.0,546.0,116,0.0092373277777777,12106,8122,2590
fBin__116|gBin__547|sBin__806,Rep_806,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas bentonitica,806.0,547.0,116,0.00929691,12477,8175,2593
fBin__116|gBin__547|sBin__807,Rep_807,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas maltophilia_S,807.0,547.0,116,0.0038523135098039,12451,8175,2593
fBin__116|gBin__547|sBin__808,Rep_808,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas maltophilia_AM,808.0,547.0,116,0.0149224,12462,8175,2593
fBin__116|gBin__547|sBin__809,Rep_809,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas maltophilia,809.0,547.0,116,0.0207471433333333,12459,8175,2593
fBin__116|gBin__547|sBin__810,Rep_810,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas sp003028475,810.0,547.0,116,0.0583963,unknown,8175,2593
fBin__116|gBin__547|sBin__811,Rep_811,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas maltophilia_AQ,811.0,547.0,116,0.0376373833333333,12457,8175,2593
fBin__116|gBin__548|sBin__812,Rep_812,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Cupriavidus metallidurans,812.0,548.0,116,0.0161204872222222,12928,8391,2594
fBin__116|gBin__549|sBin__813,Rep_813,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,unknown,813.0,549.0,116,0.0691962,unknown,7847,2552
fBin__116|gBin__550|sBin__814,Rep_814,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia pickettii,814.0,550.0,116,0.02352177125,12924,8390,2594
fBin__117|gBin__551|sBin__815,Rep_815,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium sp003020075,815.0,551.0,117,0.0025899099047619,11337,7678,2549
fBin__117|gBin__552|sBin__816,Rep_816,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Afipia,Afipia broomeae,816.0,552.0,117,0.0035167388846153,11355,7683,2549
fBin__117|gBin__553|sBin__817,Rep_817,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium sp000015165,817.0,553.0,117,0.0041700066666666,11292,7675,2549
fBin__118|gBin__554|sBin__818,Rep_818,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas ginsenosidimutans,818.0,554.0,118,0.00600682,11685,7865,2552
fBin__118|gBin__555|sBin__819,Rep_819,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,unknown,819.0,555.0,118,0.0,11765,7909,2554
fBin__118|gBin__556|sBin__820,Rep_820,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,BOG-935,unknown,820.0,556.0,118,0.187235,unknown,unknown,2554
fBin__118|gBin__557|sBin__821,Rep_821,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,Methylobacterium sp002778835,821.0,557.0,118,0.002567705,11380,7699,2549
fBin__119|gBin__558|sBin__822,Rep_822,Bacteria,Proteobacteria,Alphaproteobacteria,Rs-D84,Rs-D84,Rs-D84,Rs-D84 sp900546185,822.0,558.0,119,0.0,17322,10667,3154
fBin__119|gBin__559|sBin__823,Rep_823,Bacteria,Proteobacteria,Alphaproteobacteria,Rs-D84,Rs-D84,Rs-D84,unknown,823.0,559.0,119,0.188197,unknown,unknown,3154
fBin__119|gBin__560|sBin__824,Rep_824,Bacteria,Proteobacteria,Alphaproteobacteria,Rs-D84,Rs-D84,Rs-D84,unknown,824.0,560.0,119,0.209345,unknown,unknown,3154
fBin__119|gBin__561|sBin__825,Rep_825,Bacteria,Proteobacteria,Alphaproteobacteria,Rs-D84,Rs-D84,Rs-D84,Rs-D84 sp900550565,825.0,561.0,119,0.0123761,17316,10664,3154
fBin__119|gBin__561|sBin__826,Rep_826,Bacteria,Proteobacteria,Alphaproteobacteria,Rs-D84,Rs-D84,Rs-D84,Rs-D84 sp900550495,826.0,561.0,119,0.0166870863333333,17317,10664,3154
fBin__119|gBin__562|sBin__827,Rep_827,Bacteria,Proteobacteria,Alphaproteobacteria,Rs-D84,Rs-D84,Rs-D84,Rs-D84 sp900549365,827.0,562.0,119,0.0167263125,17319,10665,3154
fBin__119|gBin__562|sBin__828,Rep_828,Bacteria,Proteobacteria,Alphaproteobacteria,Rs-D84,Rs-D84,Rs-D84,Rs-D84 sp900546225,828.0,562.0,119,0.0,17320,10665,3154
fBin__119|gBin__562|sBin__829,Rep_829,Bacteria,Proteobacteria,Alphaproteobacteria,Rs-D84,Rs-D84,Rs-D84,unknown,829.0,562.0,119,0.0,17321,10666,3154
fBin__120|gBin__563|sBin__830,Rep_830,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium vaginale,830.0,563.0,120,0.0184901914285714,17302,10658,3153
fBin__120|gBin__563|sBin__831,Rep_831,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium sp002884815,831.0,563.0,120,0.0311040117647058,17305,10658,3153
fBin__120|gBin__563|sBin__832,Rep_832,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium vaginale_G,832.0,563.0,120,0.0198325299999999,17307,10658,3153
fBin__120|gBin__563|sBin__833,Rep_833,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium vaginale_E,833.0,563.0,120,0.026496445,17309,10658,3153
fBin__121|gBin__564|sBin__834,Rep_834,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium animalis,834.0,564.0,121,0.0104020079516483,17278,10640,3150
fBin__121|gBin__565|sBin__835,Rep_835,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium globosum,835.0,565.0,121,0.0244584333333333,17279,10641,3150
fBin__121|gBin__566|sBin__836,Rep_836,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium angulatum,836.0,566.0,121,0.0212381659090909,17231,10621,3150
fBin__121|gBin__567|sBin__837,Rep_837,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium dentium,837.0,567.0,121,0.015644245576923,17234,10622,3150
fBin__121|gBin__568|sBin__838,Rep_838,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pseudocatenulatum,838.0,568.0,121,0.0247637497899159,17237,10624,3150
fBin__121|gBin__568|sBin__839,Rep_839,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium sp002742445,839.0,568.0,121,0.02783221,17239,10624,3150
fBin__121|gBin__568|sBin__840,Rep_840,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium catenulatum,840.0,568.0,121,0.025645984868421,17241,10624,3150
fBin__121|gBin__568|sBin__841,Rep_841,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium ruminantium,841.0,568.0,121,0.01743642,17243,10624,3150
fBin__121|gBin__568|sBin__842,Rep_842,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium adolescentis,842.0,568.0,121,0.0223508647788983,17244,10624,3150
fBin__121|gBin__569|sBin__843,Rep_843,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium gallinarum,843.0,569.0,121,0.0285148666666666,17264,10633,3150
fBin__121|gBin__569|sBin__844,Rep_844,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pullorum,844.0,569.0,121,0.0,17265,10633,3150
fBin__121|gBin__570|sBin__845,Rep_845,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium scardovii,845.0,570.0,121,0.01377894,17257,10629,3150
fBin__121|gBin__571|sBin__846,Rep_846,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium bifidum,846.0,571.0,121,0.0145302511500974,17256,10628,3150
fBin__121|gBin__572|sBin__847,Rep_847,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium breve,847.0,572.0,121,0.0143730605,17247,10625,3150
fBin__121|gBin__572|sBin__848,Rep_848,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,848.0,572.0,121,0.0179819214723926,17248,10625,3150
fBin__122|gBin__573|sBin__849,Rep_849,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Alloscardovia,Alloscardovia omnicolens,849.0,573.0,122,0.0164073714285714,17300,10656,3152
fBin__123|gBin__574|sBin__850,Rep_850,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Scardovia,Scardovia wiggsiae,850.0,574.0,123,0.02159795,15494,9840,3085
fBin__124|gBin__575|sBin__851,Rep_851,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Lawsonella,unknown,851.0,575.0,124,0.020674182,3665,2723,1056
fBin__124|gBin__575|sBin__852,Rep_852,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Lawsonella,Lawsonella clevelandensis,852.0,575.0,124,0.011989475,3664,2723,1056
fBin__125|gBin__576|sBin__853,Rep_853,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,unknown,853.0,576.0,125,0.0,17001,10496,3129
fBin__125|gBin__576|sBin__854,Rep_854,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium kroppenstedtii_A,854.0,576.0,125,0.00432569,17000,10496,3129
fBin__126|gBin__577|sBin__855,Rep_855,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium glucuronolyticum,855.0,577.0,126,0.01607942,17030,10513,3132
fBin__126|gBin__578|sBin__856,Rep_856,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium propinquum,856.0,578.0,126,0.0196319,17012,10502,3131
fBin__126|gBin__579|sBin__857,Rep_857,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium amycolatum,857.0,579.0,126,0.0290601268292682,17036,10516,3132
fBin__126|gBin__580|sBin__858,Rep_858,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,unknown,858.0,580.0,126,0.0496637,17045,10522,3132
fBin__126|gBin__581|sBin__859,Rep_859,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium aurimucosum_E,859.0,581.0,126,0.0435797666666666,17102,10553,3132
